ID,CREATED,DESCRIPTION,CHALLENGE,,LENGTH(DESCRIPTION)
10251,2018+AC0-12+AC0-03 18:45:40.931,recycle,cc19 pilot study environment,,8
10267,2018+AC0-12+AC0-03 19:02:06.857,rideshare,cc19 pilot study environment,,10
10538,2018+AC0-12+AC0-04 16:38:23.109,Buy local.,cc19 pilot study environment,,10
10250,2018+AC0-12+AC0-03 18:45:34.571,ride bikes,cc19 pilot study environment,,11
10544,2018+AC0-12+AC0-04 16:40:21.483,Not litter.,cc19 pilot study environment,,11
10208,2018+AC0-12+AC0-03 17:53:47.175,Plant a tree,cc19 pilot study environment,,12
10275,2018+AC0-12+AC0-03 19:05:31.722,no other ideas,cc19 pilot study environment,,15
10438,2018+AC0-12+AC0-04 15:30:48.138,try to carpool,cc19 pilot study environment,,15
10171,2018+AC0-12+AC0-03 17:33:35.927,plant more trees,cc19 pilot study environment,,16
10252,2018+AC0-12+AC0-03 18:48:00.76,plant more trees,cc19 pilot study environment,,17
10543,2018+AC0-12+AC0-04 16:40:07.311,Plant more trees.,cc19 pilot study environment,,17
10174,2018+AC0-12+AC0-03 17:34:35.755,Buy an electric car,cc19 pilot study environment,,19
10247,2018+AC0-12+AC0-03 18:44:07.721,use LED lightbulbs,cc19 pilot study environment,,19
10253,2018+AC0-12+AC0-03 18:49:30.94,stop using plastic,cc19 pilot study environment,,19
10299,2018+AC0-12+AC0-04 08:34:50.952,urinate in the sink,cc19 pilot study environment,,19
10340,2018+AC0-12+AC0-04 08:53:59.735,We can all recycle ,cc19 pilot study environment,,19
10413,2018+AC0-12+AC0-04 13:29:35.024,make flour from bugs,cc19 pilot study environment,,20
10182,2018+AC0-12+AC0-03 17:35:30.181,use electric vehicles,cc19 pilot study environment,,21
10248,2018+AC0-12+AC0-03 18:44:16.283,turn off electronics,cc19 pilot study environment,,21
10254,2018+AC0-12+AC0-03 18:49:52.536,research clean fuels,cc19 pilot study environment,,21
10300,2018+AC0-12+AC0-04 08:34:57.828,urinate in the shower,cc19 pilot study environment,,22
10246,2018+AC0-12+AC0-03 18:43:56.393,stop using cars so much,cc19 pilot study environment,,23
10269,2018+AC0-12+AC0-03 19:02:33.417,People can plant trees.,cc19 pilot study environment,,23
10416,2018+AC0-12+AC0-04 13:31:23.808,make cars emit less co2,cc19 pilot study environment,,23
