ID,CREATED,DESCRIPTION,CHALLENGE,LENGTH(DESCRIPTION)
11008,2019+AC0-01+AC0-04 21:14:07.507,A hat with memes on it.,cc19 c3 fabric display,23
10702,2018+AC0-12+AC0-19 14:32:09.972,track someone who is lost,cc19 c3 fabric display,25
10689,2018+AC0-12+AC0-19 14:25:12.883,You could use it as a tablet.,cc19 c3 fabric display,29
10967,2019+AC0-01+AC0-03 15:04:53.601,Sporting event memorabilia.  ,cc19 c3 fabric display,29
10994,2019+AC0-01+AC0-04 20:15:19.543,smaller laptops with no display,cc19 c3 fabric display,31
10682,2018+AC0-12+AC0-19 14:21:02.068,it could be use to spy on someone,cc19 c3 fabric display,33
10696,2018+AC0-12+AC0-19 14:29:24.555,A shirt that shows sports videos,cc19 c3 fabric display,33
10760,2018+AC0-12+AC0-19 16:52:16.272,you can have changing car decals,cc19 c3 fabric display,33
10877,2019+AC0-01+AC0-03 13:19:44.958,It could be used as a pedometer.,cc19 c3 fabric display,33
10853,2019+AC0-01+AC0-03 13:12:32.699,You could use this as a projector.,cc19 c3 fabric display,34
10993,2019+AC0-01+AC0-04 20:13:52.395,Mini projector for movies et al.  ,cc19 c3 fabric display,34
10690,2018+AC0-12+AC0-19 14:25:23.769,You could use it as a charging pad.,cc19 c3 fabric display,35
10761,2018+AC0-12+AC0-19 16:53:04.436,you can have interactive subway maps,cc19 c3 fabric display,36
10834,2018+AC0-12+AC0-19 18:21:05.838,Write recipes/ingredients on aprons,cc19 c3 fabric display,36
11004,2019+AC0-01+AC0-04 21:11:05.025,+ACI-Shirt cuffs with a built+AC0-in +ACIAIg-watch+ACIAIg-.+ACI-,cc19 c3 fabric display,36
10677,2018+AC0-12+AC0-19 14:17:37.784,it could be use to catch porch pirates,cc19 c3 fabric display,38
10693,2018+AC0-12+AC0-19 14:28:18.69,You could use it as a photo projector.,cc19 c3 fabric display,38
10787,2018+AC0-12+AC0-19 17:18:49.426,shoes can display high quality images,cc19 c3 fabric display,38
10793,2018+AC0-12+AC0-19 17:21:42.751,blankets can have cool images on them,cc19 c3 fabric display,38
